Brand,Model,Fault Code,Fault Description,Probable Cause,Solution,solution 2,solution 3,solutio 4,solution 4
Caterpillar,EMCP 3 Series,Starting Air Pressure - High Shutdown,Starting Air Pressure - High Shutdown,Check sensor operation. Ensure within threshold. Adjust using Caterpillar Service Tool. Verify wiring.,Check the exhaust system for restrictions (e.g., blocked muffler). Inspect the cooling system to ensure proper engine cooling. Test the exhaust temperature sensor and wiring for faults (e.g., shorts, opens); replace if defective. Reduce the load if excessive. Reset the alarm.  to the SDMO TELYS1  or a technician if unresolved.,
Caterpillar,EMCP 3 Series,Starting Air Pressure - Low Shutdown,Starting Air Pressure - Low Shutdown,Check sensor operation. Ensure within threshold. Adjust using Caterpillar Service Tool. Verify wiring.,triggering a shutdown.,,,,
Caterpillar,EMCP 3 Series,Starting Air Pressure - High Warning,Starting Air Pressure - High Warning,Check sensor operation. Ensure within warning threshold. Adjust using Caterpillar Service Tool. Verify wiring.,triggering a warning.,,,,
Caterpillar,EMCP 3 Series,Starting Air Pressure - Low Warning,Starting Air Pressure - Low Warning,Check sensor operation. Ensure within warning threshold. Adjust using Caterpillar Service Tool. Verify wiring.,triggering a shutdown.,,,,
Caterpillar,EMCP 3 Series,Fuel Filter Differential Pressure - High Shutdown,Fuel Filter Differential Pressure - High Shutdown,Check sensor operation. Replace/clean fuel filter if necessary. Adjust threshold using Caterpillar Service Tool. Verify wiring.,triggering a warning.,,,,
Caterpillar,EMCP 3 Series,Fuel Filter Differential Pressure - Low Shutdown,Fuel Filter Differential Pressure - Low Shutdown,Check sensor operation. Adjust threshold using Caterpillar Service Tool. Verify wiring.,triggering a shutdown.,,,,
Caterpillar,EMCP 3 Series,Fuel Filter Differential Pressure - High Warning,Fuel Filter Differential Pressure - High Warning,Check sensor operation. Replace/clean fuel filter if necessary. Adjust threshold using Caterpillar Service Tool. Verify wiring.,Ensure proper ventilation around the control panel. Check for blocked vents or excessive ambient heat. Inspect the control panel cooling fan (if equipped) and wiring; replace if faulty. Reset the alarm.  to the SDMO TELYS1  or a technician if the issue persists.,,,,
Caterpillar,EMCP 3 Series,Fuel Filter Differential Pressure - Low Warning,Fuel Filter Differential Pressure - Low Warning,Check sensor operation. Adjust threshold using Caterpillar Service Tool. Verify wiring.,triggering a shutdown.,,,,
Caterpillar,EMCP II Series,SP1,Spare Fault 1 (Customizable input fault),Check the programmed spare input conditions. Inspect wiring and connected devices. Reset and troubleshoot based on customer configuration.,Check the coolant level in the radiator or reservoir; top up with the recommended coolant type. Inspect the cooling system for leaks (e.g., hoses, radiator, pump). Test the coolant level sensor and wiring for faults (e.g., shorts
Caterpillar,EMCP II Series,SP2,Spare Fault 2 (Customizable input fault),Check the programmed spare input conditions. Inspect wiring and connected devices. Reset and troubleshoot based on customer configuration.,Check the oil level; top up with the recommended oil if low. Inspect the oil cooling system for blockages or pump failure. Test the oil temperature sensor and wiring for faults (e.g., shorts, opens); replace if defective. Ensure proper engine ventilation. Reset the fault and restart.  to the APM303  or a technician if unresolved.,,
Caterpillar,EMCP II Series,SP3,Spare Fault 3 (Customizable input fault),Check the programmed spare input conditions. Inspect wiring and connected devices. Reset and troubleshoot based on customer configuration.,Check the fuel system for leaks or restrictions. Inspect the fuel filter; replace if clogged. Test the fuel pump for proper operation; replace if faulty. Verify the fuel pressure sensor and wiring; replace if defective. Prime the fuel system if needed. Reset the fault and restart. Consult the APM303  or a technician if unresolved.,,,,
Caterpillar,EMCP II Series,AL1,Alarm Fault 1 (e.g.,Low Oil Pressure Alarm),Check for proper ventilation around the alternator. Inspect for blocked vents or debris. Test the alternator temperature sensor and wiring for faults; replace if defective. Reduce the electrical load if excessive. Reset the fault and restart.  to the APM303  or a technician if unresolved.,,,,
Caterpillar,EMCP II Series,AL2,Alarm Fault 2 (e.g.,Low Coolant Temperature Alarm),Check the engine oil level; top up with the recommended oil if low. Inspect for oil leaks in the engine or lines. Test the oil pressure sensor and wiring for faults; replace if defective. Perform an oil pressure test to check for internal engine issues (e.g., worn pump). Press the reset button after addressing the issue. Consult the APM403  or a technician if unresolved.,,,
Caterpillar,EMCP II Series,AL3,Alarm Fault 3 (Custom or High Coolant Level Alarm),Check coolant level or custom condition. Inspect sensor and wiring.,Verify the engine speed is within nominal limits (e.g., 1500 RPM for 50 Hz). Inspect the governor or throttle for miscalibration or faults. Check the fuel system for over-fueling issues (e.g., stuck injector). Test the speed sensor; replace if faulty. Press the reset button after addressing the issue.  to the APM403  or a technician if unresolved.,,
Caterpillar,EMCP II Series,AL4,Alarm Fault 4 (Custom Alarm),Check custom programmed condition. Inspect related devices and wiring.,Inspect the fuel system for leaks, restrictions, or air locks. Replace the fuel filter if clogged. Test the fuel pump for proper operation; replace if faulty. Verify the fuel pressure sensor and wiring; replace if defective. Prime the system if needed. Press the reset button after addressing the issue. Consult the APM403  or a technician if unresolved.,,
Caterpillar,EMR3,11,Air filter condition Pressure loss above target range with system reaction,Check the cabling for a short circuit/cable break; repair/replace cables if necessary. Check the particular component for damage or the need of maintenance; repair/replace it if necessary. Reset the ECU by switching ignition off, waiting until the ECU has shut off and switching ignition on again. Check if the error is still active.,Measure battery voltage; if above 14.8V (for 12V systems), check the charging alternator or external charger for overcharging. Inspect the voltage regulator for faults. Check battery cables for shorts to power. Replace the battery if damaged. Press the reset button after addressing the issue.  to the APM403  or a technician if unresolved.,,
Caterpillar,EMR3,12,Accelerator pedal Cable break or short circuit,signal implausible compared to signal of idle sensor (analog pedal),Reduce the electrical load by disconnecting non-essential appliances. Inspect alternator output cables for shorts or damage. Test the alternator for internal faults (e.g., shorted windings). Verify load connections for faulty appliances. Press the reset button after addressing the issue. Consult the APM403  or a technician if unresolved.,,,
Caterpillar,EMR3,14,Accelerator pedal Cable break or short circuit,bad PWM signal range or frequency (digital pedal),Check the coolant level; top up if low. Inspect the cooling system for leaks or blockages. Test the coolant pressure sensor and wiring for faults; replace if defective. Verify the coolant pump operation. Press the reset button after addressing the issue.  to the APM403  or a technician if unresolved.,,,,
Caterpillar,EMR3,15,Accelerator pedal Bad PWM pulse-width repetition rate (digital pedal),Check the cabling for a short circuit/cable break; repair/replace cables if necessary. Check the particular component for damage or the need of maintenance; repair/replace it if necessary. Reset the ECU by switching ignition off, waiting until the ECU has shut off and switching ignition on again. Check if the error is still active.,Verify the engine speed; adjust the governor to maintain nominal RPM (e.g., 1500 RPM for 50 Hz). Inspect the fuel system for over-fueling. Test the frequency sensor and wiring; replace if faulty. Press the reset button after addressing the issue. Consult the APM403  or a technician if unresolved.,,
Caterpillar,EMR3,16,ECU internal error Ambient pressure sensor defective,Check the cabling for a short circuit/cable break; repair/replace cables if necessary. Check the particular component for damage or the need of maintenance; repair/replace it if necessary. Reset the ECU by switching ignition off, waiting until the ECU has shut off and switching ignition on again. Check if the error is still active.,Check the engine speed; ensure it meets nominal RPM (e.g., 1500 RPM for 50 Hz). Inspect the fuel system for restrictions or air. Verify the governor operation. Test the frequency sensor and wiring; replace if faulty. Press the reset button after addressing the issue.  to the APM403  or a technician if unresolved.,,
Caterpillar,EMR3,17,Air heater relay Cable break or short circuit,Check the cabling for a short circuit/cable break; repair/replace cables if necessary. Check the particular component for damage or the need of maintenance; repair/replace it if necessary. Reset the ECU by switching ignition off, waiting until the ECU has shut off and switching ignition on again. Check if the error is still active.,Check the fuel system for proper delivery; inspect injectors and fuel filters. Verify the spark plugs (if applicable) or injectors for faults; replace if needed. Inspect the air intake system for restrictions. Press the reset button after addressing the issue. Consult the APM403  or a technician if unresolved.,,,
